Id;StartDate;Submit Date;NetworkID;Age;Gender;WorkingStatus;GeoLocation;BanksOpenAccount;WhyBank;ATMUsage;BankServices;EsejMobilno;InternetBankMoreUsage;ScoreBankingServices;InternetSafety;InternetBankingSafety;YouthBenefits
70;25.3.2015 13:18;25.3.2015 13:23;642db7f5279f0b7c3eb9868e3388f6760925d494;Od 19 do 25;Muško;Nezaposlen/a;Zagrebaèka županija;PBZ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Investiranje";Ništa, sve mi je ok za sada.;Sve je savršeno, ne bih ništa promijenio/la;5;4;4;6
71;25.3.2015 13:54;25.3.2015 13:57;77e614cc85ff08b545c15b29f0db584af8f57ffa;Od 19 do 25;Muško;Student/ica;Krapinsko-zagorska ;ERSTE;Pristupaènost;Jednom u dva tjedna;Debitna ili kreditna kartica;;Telefonska pomoæ pri postavaljanju Internet usluga;5;;;5
72;25.3.2015 15:30;25.3.2015 15:34;adead00a096ed15b0a653c95b070cd61fe875fa0;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Dva do èetiri puta tjedno;Provjera stanja na raèunu;;Jednostavnija i jasnija usluga;1;3;3;4
73;25.3.2015 15:35;25.3.2015 15:40;adead00a096ed15b0a653c95b070cd61fe875fa0;Od 19 do 25;Muško;Student/ica;Meðimurska županija;PBZ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;Debitna ili kreditna kartica;;Besplatne transakcije;3;3;3;5
74;25.3.2015 16:56;25.3.2015 16:59;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;Provjera stanja na raèunu;;Veæa sigurnost;2;3;;3
75;25.3.2015 17:40;25.3.2015 17:43;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Žensko;Student/ica;Požeško-slavonska županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Sve je savršeno, ne bih ništa promijenio/la;4;4;4;5
79;25.3.2015 19:07;25.3.2015 19:12;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Provjera stanja na raèunu; Plaæanje raèuna"; ;Jednostavnija i jasnija usluga;2;2;2;1
80;25.3.2015 19:07;25.3.2015 19:10;893439bf854a1cf751fe8a351722626c460a31dd;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"Splitska; Zagrebaèka ";Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;Studentski paket (uljuèuje sve);;Sve je savršeno, ne bih ništa promijenio/la;5;3;4;5
81;25.3.2015 19:08;25.3.2015 19:11;b97c28fbaba6f2971813a826e833c360d44ed45e;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Nemam raèun;Najbolji uvjeti i pogodnosti;Ne koristim bankomat;Ne koristim bankarske usluge;;Nagrade (smanjene cijene za odreðene usluge);0;3;2;3
83;25.3.2015 19:08;25.3.2015 19:12;5199f645a389200f07ab6fd2db4138801b49c085;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;"PBZ; Zagrebaèka ; Hypo";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Ne koristim bankarske usluge;;Ništa, ne koristim ga.;1;2;1;3
85;25.3.2015 19:10;25.3.2015 19:15;90c507d53a99d522b841b423644d006c0c60d1cb;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Najbolji uvjeti i pogodnosti;Jednom tjedno;"Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;koristim jer je besplatno, smatram nepotrebnim;6;4;5;4
86;25.3.2015 19:11;25.3.2015 19:16;cda54f68ce0d98fe10637e4ff0cd4b4d597f5e34;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom u dva tjedna;Provjera stanja na raèunu;;Bolja uputstva za postavljanje Internet usluga;3;1;1;1
90;25.3.2015 19:17;25.3.2015 19:21;774ff98921cf294063ee2ec00b92d806b658499c;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Dva do èetiri puta tjedno;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;Nagrade (smanjene cijene za odreðene usluge);4;3;3;2
91;25.3.2015 19:17;25.3.2015 19:24;268ce22f7d7e751d4480371b4bbc5ba1f7886894;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";Ništa, ima sve što mi treba;Besplatne transakcije;2;3;4;5
92;25.3.2015 19:19;25.3.2015 19:23;0adfdf17a1442e12b31669f8e8ae9a13db438a94;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Internet bankarstvo; Debitna ili kreditna kartica; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;3;3;4
93;25.3.2015 19:21;25.3.2015 19:24;c8a01569f3714852dfd69007367dcf107a808abc;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Ne koristim bankarske usluge;;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";2;3;3;5
94;25.3.2015 19:21;25.3.2015 19:27;baab08c036aed368f22ba6aeccf0b590ec468931;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;"Splitska; ERSTE";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Debitna ili kreditna kartica; Štednja";;Telefonska pomoæ pri postavaljanju Internet usluga;3;4;4;5
95;25.3.2015 19:23;25.3.2015 19:26;eb8866653f1c62b84043ed48f3672ca0f5822248;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Nemam raèun;Preporuka prijatelja ili rodbine;Ne koristim bankomat;Ne koristim bankarske usluge;;Besplatne transakcije;2;2;3;4
96;25.3.2015 19:33;25.3.2015 19:39;2d13f2896f3a465e70c039e260a9896529558cd3;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Karlovaèka banka;Pristupaènost;Ne koristim bankomat;"Štednja; Provjera stanja na raèunu";;Bolja uputstva za postavljanje Internet usluga;1;;;2
97;25.3.2015 19:34;25.3.2015 19:40;824bdaec201efdb1b97f73eaca74032bd9e6f250;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;ERSTE;;Ne koristim bankomat;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica";Ništa ;Veæa sigurnost;3;1;1;1
98;25.3.2015 19:34;25.3.2015 19:41;dd282524d0c96f54cf691320b79966f8370269a5;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Studentski paket (uljuèuje sve)";;Sve je savršeno, ne bih ništa promijenio/la;3;3;3;6
101;25.3.2015 20:01;25.3.2015 20:04;779fc5f2647888afe5f3d4478f1969a52bd7b374;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Nemam raèun;;Ne koristim bankomat;Internet bankarstvo;;Besplatne transakcije;2;4;4;4
103;25.3.2015 20:29;25.3.2015 20:33;cda54f68ce0d98fe10637e4ff0cd4b4d597f5e34;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;3;3;5
107;25.3.2015 20:31;25.3.2015 20:41;750be4568eddbfe1d0a722c2e81b9bba0200381c;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"Splitska; Zagrebaèka ";Pristupaènost;Jednom u dva tjedna;"Internet bankarstvo; Debitna ili kreditna kartica; Kontaktiranje Vašeg savjetnika u banci; Provjera stanja na raèunu";;Sve je savršeno, ne bih ništa promijenio/la;3;3;5;4
108;25.3.2015 20:34;25.3.2015 20:37;ed8cdeb298df4b3c75662477e2df3259d7a39765;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";4;4;3;5
111;25.3.2015 20:42;25.3.2015 20:48;4b1f5f66a4d564dd03ecdaf66615cb6c4da1b402;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Raiffeisen;Pristupaènost;Jednom u dva tjedna;"Internet bankarstvo; Provjera stanja na raèunu";-;Sve je savršeno, ne bih ništa promijenio/la;3;3;4;6
114;25.3.2015 21:05;25.3.2015 21:09;40c9991a1db7eeb15628436e52d47ff569e2c7cc;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna; Investiranje";;Nagrade (smanjene cijene za odreðene usluge);6;5;5;8
115;25.3.2015 21:06;25.3.2015 21:16;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;ERSTE;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Internet bankarstvo; Štednja; Provjera stanja na raèunu";ne koristim se preèesto time, tako da ne bih znala;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";3;2;2;3
116;25.3.2015 21:35;25.3.2015 21:39;ce024666eeb05928d9f3d58155112f50d79b4daa;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Provjera stanja na raèunu";;Jednostavnija i jasnija usluga;2;2;4;4
119;25.3.2015 22:00;25.3.2015 22:03;ef759ce14e83fbdff478aa75785311bb21f14cdc;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";3;1;4;7
120;25.3.2015 22:00;25.3.2015 22:09;733f21c2868cb307705ca3f056181dd76781aab5;Od 19 do 25;Muško;Zaposlen/a;Zagrebaèka županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Internet bankarstvo; Provjera stanja na raèunu";Nikakve;"Veæa sigurnost; Besplatne transakcije";4;4;4;5
128;25.3.2015 22:29;25.3.2015 22:34;a9ec2018dcf1857229e3bbaba139b0958c794242;Od 19 do 25;Muško;Student/ica;Grad Zagreb;hpb;Preporuka prijatelja ili rodbine;Jednom tjedno;"Provjera stanja na raèunu; Plaæanje raèuna";;"Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga";4;3;3;6
130;25.3.2015 22:31;25.3.2015 22:34;3fe7cbf3e07a472009c5b612a2c9de73987bbd0f;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Ne koristim bankarske usluge;;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;3;3;4
131;25.3.2015 22:33;25.3.2015 22:40;7ed8daccd2bcdbe1465725222b2195d432274511;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Hypo;Preporuka prijatelja ili rodbine;Ne koristim bankomat;Žiro;Ne znam ne koristim;Sve je savršeno, ne bih ništa promijenio/la;6;5;3;1
132;25.3.2015 22:36;25.3.2015 22:39;04df5fbfcdaf036c8c027bf03666c6b9a65af0af;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Štednja";;Besplatne transakcije;5;5;5;6
133;25.3.2015 22:36;25.3.2015 22:50;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Raiffeisen;Pristupaènost;Jednom tjedno;Studentski paket (uljuèuje sve);;Nagrade (smanjene cijene za odreðene usluge);3;3;3;3
135;25.3.2015 22:43;25.3.2015 22:46;9a51830a08ca4213300aa2dc24bd0739646e79ef;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Debitna ili kreditna kartica;;Besplatne transakcije;4;3;3;4
137;25.3.2015 22:47;25.3.2015 22:53;cda54f68ce0d98fe10637e4ff0cd4b4d597f5e34;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Pristupaènost;Jednom tjedno;"Internet bankarstvo; Debitna ili kreditna kartica; Štednja";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";2;1;1;3
139;25.3.2015 22:52;25.3.2015 23:08;786f8e8b059b48d441f7f1d3ef11dbc6b08d8ff6;Više od 25;Žensko;Zaposlen/a;Grad Zagreb;"PBZ; ERSTE";Pristupaènost;Ne koristim bankomat;"Mobilno bankarstvo; Internet bankarstvo; Kredit";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";3;1;1;2
143;25.3.2015 22:55;25.3.2015 23:01;f744c6650279a3be6c2ef2d1205f68b58195a830;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"Splitska; PBZ";Pristupaènost;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Provjera stanja na raèunu; Plaæanje raèuna";Nista ne fali;Besplatne transakcije;3;4;4;5
148;25.3.2015 22:57;25.3.2015 22:59;2407a0f94412567fa8410641c38b8ab91a896a70;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Štednja; Provjera stanja na raèunu";;"Jednostavnija i jasnija usluga; Veæa sigurnost; Telefonska pomoæ pri postavaljanju Internet usluga; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";1;3;2;3
149;25.3.2015 22:57;25.3.2015 23:00;a79b021b7eb7ebe5fe1f8b9306c6b9459d2a4831;Od 19 do 25;Žensko;Student/ica;Primorsko-goranska županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Više od èetiri puta tjedno;"Mobilno bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";bo;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";5;2;3;5
151;25.3.2015 23:04;25.3.2015 23:10;44627741416b0726b14bcbfa09ea68cd63e91346;Od 15 do 18;Žensko;Student/ica;Grad Zagreb;Splitska;Pristupaènost;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;Veæa sigurnost;1;4;3;3
153;25.3.2015 23:05;25.3.2015 23:10;cf99df1927df7694d3589deed8b7274a1570c9c6;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Ne koristim bankomat;Studentski paket (uljuèuje sve);;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga";1;2;2;2
155;25.3.2015 23:08;25.3.2015 23:13;bae6f6309c0039ab000ebbafe59c0d1222437dec;Više od 25;Žensko;Zaposlen/a;Istarska županija;PBZ;Pristupaènost;Više od èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;Besplatne transakcije;2;3;4;3
157;25.3.2015 23:10;25.3.2015 23:29;01cdbbbd475760e4928c5bcc3707e535bb5720b5;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost; Besplatne transakcije";3;2;2;5
161;25.3.2015 23:42;25.3.2015 23:45;2f2bde8c81737dfb4696983ee73c401a8c742195;Od 19 do 25;Žensko;Zaposlen/a;Grad Zagreb;Raiffeisen;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;Mobilno bankarstvo;;Besplatne transakcije;3;3;2;2
162;25.3.2015 23:50;25.3.2015 23:55;7d88d7435484fe71c82679e328c28e272ef6d93e;Od 19 do 25;Žensko;Nezaposlen/a;Istarska županija;PBZ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";4;4;5;4
165;26.3.2015 0:07;26.3.2015 0:13;4c82788b2f98c1f0f61e5ff3595b842e45c85441;Više od 25;Muško;Nezaposlen/a;Splitsko-dalmatinska županija;Nemam raèun;;Ne koristim bankomat;Investiranje;;Biznis;1;;;1
166;26.3.2015 0:08;26.3.2015 0:14;16541f1afd89bf1c7ce0ec712a4a2f1327aee259;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Raiffeisen;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Provjera stanja na raèunu;;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";1;2;2;4
170;26.3.2015 1:11;26.3.2015 1:13;cda54f68ce0d98fe10637e4ff0cd4b4d597f5e34;Od 19 do 25;Muško;Student/ica;Istarska županija;OTP;Najbolji uvjeti i pogodnosti;Jednom tjedno;Štednja;;Sve je savršeno, ne bih ništa promijenio/la;1;1;1;5
176;26.3.2015 7:04;26.3.2015 7:09;3c93c99733afcb8692bd595adf24f504423a3c68;Od 19 do 25;Žensko;Zaposlen/a;Grad Zagreb;Raiffeisen;Pristupaènost;Jednom tjedno;"Provjera stanja na raèunu; Investiranje; Osiguranje";;"Jednostavnija i jasnija usluga; Veæa sigurnost";6;1;3;8
181;26.3.2015 10:39;26.3.2015 10:45;8c809a1a4bd9ce8b3efba75a36b5ca5b5743e6d2;Od 19 do 25;Muško;Student/ica;Grad Zagreb;ERSTE;;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Provjera stanja na raèunu";?;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";3;1;4;4
182;26.3.2015 11:47;26.3.2015 11:52;cba4a43a9a0f26e4da4456127f01dbf3718736a0;Od 19 do 25;Muško;Student/ica;Primorsko-goranska županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Ne koristim bankomat;"Mobilno bankarstvo; Provjera stanja na raèunu";;"Jednostavnija i jasnija usluga; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";3;4;4;5
188;26.3.2015 14:38;26.3.2015 14:41;1cc58395a596a99c9224b7a0e9e4614ec6920056;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost";3;;3;4
189;26.3.2015 14:44;26.3.2015 14:47;b4d3e237fda99d8c42e5e08193eea0621bc25450;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Studentski paket (uljuèuje sve);;Sve je savršeno, ne bih ništa promijenio/la;4;4;4;7
190;26.3.2015 15:26;26.3.2015 15:29;30bdbe344ac823b02ef4e7cc2ce3985c55a698bb;Od 15 do 18;Muško;Srednjoškolac/ka;Istarska županija;otp;Pristupaènost;Jednom u dva tjedna;Štednja;;Besplatne transakcije;0;3;3;1
193;26.3.2015 16:21;26.3.2015 16:29;8c809a1a4bd9ce8b3efba75a36b5ca5b5743e6d2;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Najbolji uvjeti i pogodnosti;Ne koristim bankomat;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve)";PBZ-ova najbolja ! zaba 2 kune ne vrijedi;Sve je savršeno, ne bih ništa promijenio/la;4;4;4;6
195;26.3.2015 16:52;26.3.2015 16:55;0878aa4f230a3b01246da54661ba9aaee3ec6412;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Provjera stanja na raèunu";;Sve je savršeno, ne bih ništa promijenio/la;3;3;4;6
196;26.3.2015 16:57;26.3.2015 17:12;2b8a1d19acbb79d8ac0709029c743ff193cf9228;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;Splitska;Preporuka prijatelja ili rodbine;Jednom tjedno;"Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";2;2;2;4
200;26.3.2015 17:06;26.3.2015 17:14;de234d8587361882984f117ac3823f09c4b97bdd;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;"Splitska; PBZ";Pristupaènost;Ne koristim bankomat;Provjera stanja na raèunu;;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga";2;;2;1
203;26.3.2015 17:10;26.3.2015 17:18;df49503c10e6753f72b681853c614d764015a317;Od 19 do 25;Muško;Student/ica + zaposlen/a;Splitsko-dalmatinska županija;"PBZ; HPB";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Provjera stanja na raèunu;;ništa;3;4;4;1
207;26.3.2015 17:12;26.3.2015 17:17;76aa5485b8afd0918c3cae6526208f6c0690fba6;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;hpb;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Štednja; Provjera stanja na raèunu";;Nagrade (smanjene cijene za odreðene usluge);3;3;3;5
208;26.3.2015 17:12;26.3.2015 17:15;7518e69f2cfdce47ed05e854d23d24f9c241488b;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;"Splitska; Zagrebaèka ";Najbolji uvjeti i pogodnosti;Jednom tjedno;Provjera stanja na raèunu;;"Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";3;3;;4
209;26.3.2015 17:14;26.3.2015 17:15;ebfa8bb44d43715b1a9ef18cfe04106af1ad61f2;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;"PBZ; Zagrebaèka ";Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;Nagrade (smanjene cijene za odreðene usluge);1;5;;8
211;26.3.2015 17:16;26.3.2015 17:21;90e5b54de0f89359888df17475b9cf0e0ef9e258;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;"Splitska; Zagrebaèka ";Pristupaènost;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga";4;3;4;6
212;26.3.2015 17:18;26.3.2015 17:23;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Internet bankarstvo; Studentski paket (uljuèuje sve)";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";5;4;4;4
215;26.3.2015 17:36;26.3.2015 17:40;3831ceb96afd0d18a5d51a96acb0b05167058589;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;Splitska;Preporuka prijatelja ili rodbine;Ne koristim bankomat;Studentski paket (uljuèuje sve);;Jednostavnija i jasnija usluga;1;4;3;4
216;26.3.2015 17:38;26.3.2015 17:40;ae0b23dcc205155cbc295cacd4fc47205ebee1f5;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;Splitska;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Štednja;;Jednostavnija i jasnija usluga;3;2;1;5
219;26.3.2015 17:58;26.3.2015 18:03;94c5d86a4b5b1fefd590704fd7323eaac105819e;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;Splitska;Preporuka prijatelja ili rodbine;Ne koristim bankomat;"Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";2;3;3;1
222;26.3.2015 18:15;26.3.2015 18:20;b7086a15411aabed952c2220de92e3519a592dc1;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;PBZ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Mobilno bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";PBZ je tako savršen da se nema što dodati.;Sve je savršeno, ne bih ništa promijenio/la;6;5;5;8
228;26.3.2015 19:20;26.3.2015 19:24;8bab087e9c2e9d9fd04617a0ea0fa9b2f9b7224f;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;Splitska;Pristupaènost;Ne koristim bankomat;Studentski paket (uljuèuje sve);;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";1;3;2;2
231;26.3.2015 19:42;26.3.2015 19:47;6cd3ed00c8d44434c5a07ad5e145eae7d5aaad30;Od 15 do 18;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Provjera stanja na raèunu; Plaæanje raèuna";;"Veæa sigurnost; Besplatne transakcije";3;3;4;5
239;26.3.2015 20:24;26.3.2015 20:29;9203306985558281a2c618997a3db7248498f66d;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;PBZ;;Jednom tjedno;Studentski paket (uljuèuje sve);Nista;Besplatne transakcije;3;4;4;7
240;26.3.2015 20:39;26.3.2015 20:43;0bef43caa63e2f723dba904e7ede380720c22538;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;Splitska;Pristupaènost;Jednom u dva tjedna;Provjera stanja na raèunu;;Nagrade (smanjene cijene za odreðene usluge);2;2;2;2
241;26.3.2015 20:50;26.3.2015 20:53;04fcac460379be01527855af7a7791e800621cb0;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;Splitska;Najbolji uvjeti i pogodnosti;Ne koristim bankomat;Studentski paket (uljuèuje sve);;Veæa sigurnost;3;2;3;8
